Employee_ID,Name,Gender,Department,City,Joining_Date,Experience_Years,Salary,Bonus,Performance_Rating
E0028,Aarav Patel,Male,IT,Mumbai,2013-03-13,1.0,125618,38801.0,4
E0029,Aditya Kumar,Male,Operations,Delhi,2022-07-11,4.6,179124,46878.0,5
E0030,Riya Mehta,Female,Sales,Lucknow,2019-05-05,11.5,179915,7835.0,4
E0031,Aarav Das,Male,Operations,Bengaluru,2015-10-18,11.4,66914,7851.0,3
E0032,Neha Singh,Male,HR,Lucknow,2016-01-04,6.9,56563,49434.0,2
E0033,Aarav Yadav,Female,Finance,Delhi,2013-09-01,8.4,45537,28634.0,4
E0034,Aarav Yadav,Female,IT,Jaipur,2024-11-21,7.3,127577,7782.0,3
E0035,Riya Singh,Female,Operations,Bengaluru,2016-10-24,19.4,95687,23076.0,3
E0036,Rahul Kumar,Male,HR,Mumbai,2024-08-15,19.7,37182,16437.0,3
E0037,Neha Yadav,Male,Sales,Hyderabad,2014-04-10,19.9,78516,31114.0,3
E0038,Aditya Mehta,Male,Marketing,Mumbai,2022-08-24,12.3,175378,43042.0,3
E0039,Ananya Das,Female,Marketing,Jaipur,2013-09-27,18.1,60650,13412.0,4
E0040,Riya Sharma,Male,Operations,Bengaluru,2018-08-03,15.8,29656,42503.0,3
E0041,Amit Gupta,Male,HR,Bengaluru,2018-01-08,9.1,34089,18515.0,3
E0042,Riya Kumar,Male,Sales,Delhi,2020-07-23,17.9,168106,24981.0,2
E0043,Priya Patel,Female,Marketing,Delhi,2021-08-29,4.6,75949,47151.0,4
E0044,Riya Kumar,Female,Sales,Bengaluru,2018-11-16,8.5,47099,9129.0,3
E0045,Priya Kumar,Male,IT,Jaipur,2021-05-23,11.5,113351,8463.0,2
E0046,Amit Gupta,Male,Sales,Lucknow,2015-05-04,6.3,173568,15691.0,3
E0047,Aarav Joshi,Male,IT,Hyderabad,2018-01-01,12.1,177672,11467.0,4
E0048,Neha Mehta,Male,Marketing,Bengaluru,2013-03-09,9.7,40733,15230.0,4
E0049,Ananya Patel,Female,Operations,Lucknow,2014-01-23,6.2,112799,49643.0,5
E0050,Rahul Sharma,Female,Marketing,Pune,2024-02-04,0.6,80408,19878.0,3
E0051,Vivaan Joshi,Female,Operations,Bengaluru,2024-06-04,12.8,81077,14693.0,5
E0052,Vivaan Patel,Female,Operations,Jaipur,2016-03-10,11.3,140575,43863.0,3
E0053,Sneha Verma,Male,Sales,Lucknow,2014-06-27,9.7,33759,6360.0,4
E0054,Rahul Das,Female,HR,Delhi,2023-07-13,11.8,44151,45256.0,5
E0055,Sneha Joshi,Female,Operations,Mumbai,2017-06-09,12.1,50566,16017.0,5
E0056,Aditya Verma,Female,Finance,Hyderabad,2013-04-10,17.4,62289,33647.0,2
E0057,Ananya Sharma,Male,Operations,Pune,2013-12-10,5.7,85514,7075.0,2
E0058,Sneha Mehta,Male,Sales,Bengaluru,2023-07-24,17.6,139157,29633.0,3
E0059,Aarav Verma,Male,IT,Bengaluru,2020-03-22,0.3,63908,6044.0,2
E0060,Diya Verma,Male,Marketing,Pune,2024-02-07,1.1,78503,11481.0,4
E0061,Ananya Mehta,Female,IT,Jaipur,2024-12-27,6.0,51777,46267.0,4
E0062,Amit Kumar,Male,IT,Mumbai,2021-02-27,14.6,92837,13454.0,2
E0063,Aditya Sharma,Male,Marketing,Lucknow,2019-02-11,11.9,31470,36307.0,2
E0064,Priya Verma,Female,Sales,Mumbai,2023-08-30,16.8,66141,35054.0,2
E0065,Rahul Patel,Male,Sales,Lucknow,2024-12-17,4.9,64324,37272.0,3
E0066,Aditya Joshi,Male,Marketing,Lucknow,2020-04-06,13.0,172620,24387.0,4
E0067,Aarav Mehta,Female,HR,Hyderabad,2022-08-28,1.0,108304,22984.0,5
E0068,Rahul Das,Male,Sales,Pune,2015-02-28,12.0,170201,27116.0,5
E0069,Priya Patel,Female,Finance,Lucknow,2016-12-10,5.1,105750,30784.0,3
E0070,Aditya Patel,Male,Sales,Pune,2023-01-03,11.2,53220,13948.0,3
E0071,Riya Das,Female,Finance,Mumbai,2024-06-12,2.3,44392,7289.0,5
E0072,Amit Das,Male,Operations,Lucknow,2019-04-29,8.5,154324,11640.0,3
E0073,Sneha Mehta,Male,Marketing,Hyderabad,2024-10-29,11.1,123258,19403.0,3
E0074,Rahul Das,Male,Marketing,Bengaluru,2013-06-22,18.6,63900,48422.0,2
E0075,Riya Kumar,Male,Finance,Jaipur,2015-12-12,10.0,63075,14948.0,4
E0076,Vivaan Yadav,Male,Marketing,Bengaluru,2016-06-01,13.8,178355,44425.0,2
E0077,Riya Yadav,Male,Sales,Hyderabad,2019-02-27,8.4,116909,,5
E0078,Aditya Yadav,Female,Operations,Delhi,2019-01-16,7.1,46098,40637.0,2
E0079,Vivaan Kumar,Male,Finance,Delhi,2018-07-16,9.9,99792,5455.0,2
E0080,Vivaan Patel,Female,Sales,Lucknow,2020-02-28,15.6,81406,40256.0,2
E0081,Rahul Mehta,Male,Finance,Bengaluru,2013-01-09,2.5,52523,12138.0,3
E0082,Vivaan Mehta,Female,Sales,Lucknow,2019-02-17,0.9,54583,48233.0,2
E0083,Vivaan Kumar,Male,Sales,Mumbai,2021-02-02,19.9,126096,7668.0,4
E0084,Ananya Patel,Female,IT,Pune,2017-11-02,15.0,38709,5039.0,3
E0085,Riya Gupta,Male,Marketing,Mumbai,2015-02-10,15.1,168095,30921.0,2
E0086,Aditya Singh,Female,IT,Jaipur,2014-12-09,4.5,125933,33336.0,3
E0087,Aditya Das,Female,Sales,Hyderabad,2017-08-24,15.9,156094,32836.0,3
E0088,Vivaan Singh,Female,Operations,Delhi,2018-08-17,15.1,54073,33819.0,5
E0089,Aditya Sharma,Male,IT,Mumbai,2016-01-20,6.7,94609,41920.0,2
E0090,Aditya Das,Female,IT,Bengaluru,2019-10-23,11.8,47159,30718.0,5
E0091,Riya Joshi,Female,HR,Pune,2021-06-27,6.9,156189,34097.0,5
E0092,Karan Kumar,Female,Operations,Jaipur,2017-01-22,13.3,127336,38435.0,5
E0093,Karan Joshi,Female,HR,Pune,2018-02-08,0.9,148871,44674.0,3
E0094,Rahul Yadav,Male,IT,Lucknow,2018-10-02,4.8,32534,19093.0,3
E0095,Sneha Verma,Male,Marketing,Bengaluru,2022-05-15,8.9,104912,24416.0,4
E0096,Aarav Joshi,Male,Sales,Hyderabad,2020-10-25,17.9,123596,30634.0,4
E0097,Ananya Mehta,Female,Operations,Bengaluru,2022-01-08,3.3,88450,48977.0,3
E0098,Sneha Joshi,Male,Finance,Bengaluru,2017-11-15,2.3,39543,43720.0,3
E0099,Sneha Patel,Female,HR,Delhi,2016-08-06,13.1,65373,28873.0,4
E0100,Diya Patel,Male,HR,Lucknow,2016-02-07,8.3,69965,31047.0,2
E0101,Sneha Mehta,Male,Marketing,Lucknow,2013-03-04,7.3,175890,7422.0,4
E0102,Amit Patel,Female,IT,Pune,2016-10-03,7.6,148030,26716.0,2
E0103,Diya Joshi,Male,Marketing,Bengaluru,2012-10-31,4.4,155209,9245.0,4
E0104,Aditya Joshi,Male,Operations,Delhi,2019-08-31,4.2,27052,29004.0,5
E0105,Sneha Patel,Male,HR,Bengaluru,2015-04-17,5.2,131233,28372.0,3
E0106,Diya Singh,Female,IT,Delhi,2013-10-12,10.6,83177,25116.0,3
E0107,Aditya Kumar,Female,HR,Hyderabad,2012-06-04,7.5,171798,,4
E0108,Neha Verma,Female,Finance,Lucknow,2021-02-24,9.7,54167,35102.0,4
E0109,Neha Das,Female,HR,Bengaluru,2020-07-10,13.0,62522,30956.0,4
E0110,Rahul Kumar,Female,HR,Jaipur,2022-02-11,14.7,153417,16863.0,5
E0111,Sneha Patel,Male,Sales,Lucknow,2014-02-27,5.1,136953,33172.0,3
E0112,Ananya Kumar,Male,Marketing,Bengaluru,2016-03-03,14.7,60353,20629.0,3
E0113,Aditya Mehta,Female,Sales,Hyderabad,2016-07-29,9.4,82689,40889.0,2
E0114,Neha Yadav,Male,Finance,Bengaluru,2025-07-29,17.5,48999,38513.0,3
E0115,Priya Joshi,Female,Finance,Bengaluru,2012-07-17,14.0,85961,47749.0,2
E0116,Vivaan Mehta,Female,Operations,Bengaluru,2024-03-02,3.2,101659,44112.0,2
E0117,Sneha Verma,Female,Finance,Lucknow,2015-02-05,12.4,33764,39604.0,2
E0118,Priya Kumar,Female,Marketing,Jaipur,2019-02-13,11.4,105434,18128.0,3
E0119,Diya Yadav,Male,HR,Pune,2018-09-22,18.0,74393,17644.0,2
E0120,Aarav Mehta,Female,Operations,Delhi,2015-10-22,5.9,107284,34468.0,2
E0121,Karan Das,Female,Marketing,Mumbai,2020-11-30,8.7,125653,25223.0,3
E0122,Sneha Singh,Male,HR,Bengaluru,2017-01-17,7.4,136599,9613.0,2
E0123,Sneha Kumar,Female,Sales,Bengaluru,2017-06-13,10.0,90187,43342.0,2
E0124,Sneha Yadav,Male,IT,Bengaluru,2012-01-20,12.2,174313,5651.0,4
E0125,Ananya Das,Female,Sales,Hyderabad,2014-05-31,6.5,163418,13854.0,4
E0126,Vivaan Sharma,Female,Finance,Delhi,2018-01-21,7.6,158556,47665.0,5
E0127,Priya Kumar,Female,HR,Bengaluru,2022-08-26,0.2,158103,5760.0,2
E0128,Sneha Sharma,Male,Operations,Jaipur,2019-08-13,6.3,53502,34596.0,4
E0129,Priya Sharma,Female,Marketing,Delhi,2019-11-10,8.9,34741,35854.0,5
E0130,Amit Gupta,Female,Marketing,Mumbai,2017-01-16,10.4,57857,43329.0,3
E0131,Aditya Gupta,Female,IT,Hyderabad,2013-05-09,12.8,33538,41241.0,3
E0132,Amit Das,Female,HR,Delhi,2013-09-20,18.2,130637,12787.0,4
E0133,Aarav Patel,Male,Marketing,Jaipur,2018-12-13,8.2,83518,29754.0,5
E0134,Ananya Das,Female,Finance,Jaipur,2019-09-22,14.5,33966,7505.0,2
E0135,Neha Das,Female,Finance,Mumbai,2020-07-20,8.6,151718,7295.0,3
E0136,Amit Yadav,Female,Marketing,Bengaluru,2022-04-20,19.8,32133,49847.0,5
E0137,Aarav Kumar,Male,HR,Jaipur,2023-03-06,15.0,121481,43405.0,4
E0138,Sneha Singh,Male,IT,Lucknow,2019-07-21,12.5,172707,28004.0,4
E0139,Aarav Das,Male,HR,Hyderabad,2012-01-06,14.2,37588,22245.0,2
E0140,Aditya Singh,Female,Marketing,Mumbai,2025-08-21,8.5,117438,35207.0,3
E0141,Vivaan Yadav,Female,Finance,Jaipur,2024-01-24,3.5,158913,30625.0,5
E0142,Vivaan Singh,Female,Sales,Bengaluru,2014-03-30,17.0,130409,42236.0,3
E0143,Neha Gupta,Male,Sales,Mumbai,2018-05-19,11.8,74075,43433.0,4
E0144,Priya Yadav,Male,IT,Delhi,2016-08-13,18.6,32892,7223.0,2
E0145,Karan Gupta,Female,Marketing,Jaipur,2012-03-08,16.3,157579,45349.0,5
E0146,Rahul Kumar,Female,HR,Mumbai,2017-05-29,15.4,105436,36107.0,5
E0147,Aarav Patel,Male,Marketing,Mumbai,2015-06-30,11.1,67349,25164.0,3
E0148,Diya Verma,Male,Operations,Pune,2025-04-15,6.2,28462,25731.0,2
E0149,Karan Yadav,Female,HR,Lucknow,2019-06-06,5.3,36609,47162.0,3
E0150,Priya Verma,Male,Finance,Lucknow,2017-08-07,7.5,152407,23922.0,2
E0151,Diya Joshi,Male,HR,Jaipur,2015-01-03,6.3,42891,13597.0,5
E0152,Rahul Kumar,Female,IT,Hyderabad,2024-10-04,15.8,64787,30470.0,5
E0153,Neha Sharma,Male,Finance,Delhi,2022-08-07,9.6,71667,19990.0,2
E0154,Riya Sharma,Female,IT,Mumbai,2016-05-08,5.5,165420,8545.0,2
E0155,Sneha Kumar,Male,Sales,Mumbai,2015-09-22,6.2,137107,5885.0,4
E0156,Priya Mehta,Male,Finance,Lucknow,2022-03-14,17.3,28110,34602.0,3
E0157,Riya Kumar,Female,IT,Lucknow,2021-10-20,16.9,88057,48290.0,2
E0158,Neha Mehta,Female,HR,Jaipur,2024-03-20,19.8,171737,18055.0,2
E0159,Riya Mehta,Female,Marketing,Mumbai,2016-11-11,15.4,110734,23104.0,2
E0160,Amit Yadav,Female,Marketing,Pune,2024-11-06,0.7,162018,29359.0,3
E0161,Sneha Gupta,Female,Operations,Pune,2016-04-21,6.2,75475,34855.0,3
E0162,Amit Gupta,Male,Sales,Mumbai,2024-08-18,7.5,166167,16884.0,4
E0163,Diya Singh,Female,Sales,Jaipur,2023-10-09,10.9,84410,17434.0,2
E0164,Priya Patel,Male,HR,Hyderabad,2023-08-08,0.7,158301,41391.0,2
E0165,Vivaan Verma,Male,Marketing,Jaipur,2021-12-05,4.4,126685,42812.0,3
E0166,Rahul Verma,Male,Operations,Delhi,2024-06-27,3.9,176357,25026.0,2
E0167,Diya Das,Male,Operations,Bengaluru,2015-04-21,13.7,178668,18999.0,5
E0168,Aarav Gupta,Male,HR,Mumbai,2019-12-19,15.2,121443,25988.0,5
E0169,Diya Yadav,Male,Marketing,Delhi,2021-03-09,0.2,48806,15470.0,2
E0170,Vivaan Gupta,Male,HR,Delhi,2025-02-10,8.0,96124,28822.0,3
E0171,Rahul Yadav,Male,Sales,Mumbai,2016-12-04,6.9,90700,41993.0,2
E0172,Amit Mehta,Female,Operations,Lucknow,2012-04-11,4.1,85990,18334.0,4
E0173,Karan Patel,Female,Marketing,Pune,2020-01-22,19.2,160214,19929.0,4
E0174,Aditya Sharma,Male,IT,Hyderabad,2012-12-24,17.9,92317,10747.0,2
E0175,Amit Mehta,Female,IT,Mumbai,2019-10-16,6.8,75458,35151.0,3
E0176,Priya Gupta,Male,IT,Lucknow,2015-04-08,12.3,61638,31217.0,3
E0177,Riya Joshi,Female,Finance,Jaipur,2017-06-03,5.6,115918,21622.0,5
E0178,Riya Yadav,Female,Sales,Mumbai,2012-08-10,19.6,169403,46876.0,3
E0179,Riya Verma,Male,Finance,Mumbai,2017-04-23,19.6,71619,41479.0,3
E0180,Vivaan Mehta,Male,Sales,Delhi,2023-01-06,8.1,127720,48748.0,5
E0181,Diya Joshi,Female,Marketing,Delhi,2024-01-19,8.2,84915,29376.0,5
E0182,Vivaan Mehta,Male,HR,Delhi,2024-03-21,0.4,56573,11032.0,5
E0183,Diya Kumar,Male,IT,Mumbai,2017-01-20,5.9,116449,33739.0,5
E0184,Karan Mehta,Female,Operations,Jaipur,2015-10-12,2.1,45568,5833.0,5
E0185,Karan Sharma,Female,IT,Lucknow,2024-12-30,7.9,173344,22681.0,3
E0186,Sneha Kumar,Female,IT,Mumbai,2017-12-07,3.2,62974,46659.0,2
E0187,Priya Patel,Female,Finance,Jaipur,2020-02-20,18.4,122906,48827.0,4
E0188,Aarav Gupta,Female,Marketing,Hyderabad,2015-03-19,10.0,74179,35352.0,3
E0189,Karan Mehta,Female,HR,Mumbai,2016-12-11,10.6,39764,25554.0,2
E0190,Aditya Das,Male,HR,Lucknow,2024-02-25,8.6,31082,22971.0,5
E0191,Vivaan Singh,Female,Operations,Jaipur,2012-03-11,15.7,38931,9070.0,4
E0192,Karan Mehta,Female,Sales,Pune,2021-08-19,5.1,148575,26804.0,5
E0193,Aditya Gupta,Female,IT,Mumbai,2016-08-28,13.1,136766,26923.0,3
E0194,Diya Patel,Male,HR,Delhi,2022-04-25,14.0,38139,6196.0,4
E0195,Vivaan Singh,Male,Sales,Lucknow,2018-05-24,12.6,51574,22542.0,4
E0196,Vivaan Gupta,Male,HR,Bengaluru,2014-05-12,12.9,69694,36723.0,2
E0197,Sneha Verma,Male,Operations,Mumbai,2012-09-10,15.6,93781,19476.0,2
E0198,Neha Kumar,Female,Marketing,Pune,2024-08-18,3.5,151246,24310.0,2
E0199,Priya Verma,Male,Operations,Jaipur,2018-08-01,6.3,100079,42335.0,2
E0200,Priya Kumar,Female,HR,Jaipur,2019-09-04,18.3,76287,11288.0,3
E0201,Amit Verma,Male,Operations,Mumbai,2025-09-08,19.8,37564,20934.0,2
E0202,Neha Kumar,Male,Sales,Lucknow,2017-07-17,1.6,157497,14670.0,4
E0203,Amit Sharma,Male,Finance,Hyderabad,2018-08-11,9.7,43991,35917.0,3
E0204,Rahul Sharma,Male,Sales,Lucknow,2014-02-17,9.1,99128,40505.0,2
E0205,Aditya Sharma,Female,Marketing,Hyderabad,2015-01-27,11.6,105825,43465.0,4
E0206,Ananya Verma,Female,IT,Hyderabad,2017-10-15,15.4,102920,41687.0,5
E0207,Priya Joshi,Male,Finance,Bengaluru,2019-01-23,8.3,109256,19280.0,5
E0208,Diya Mehta,Female,Marketing,Jaipur,2023-07-19,9.6,85366,47739.0,5
E0209,Ananya Das,Male,Sales,Delhi,2018-01-11,17.3,150358,6171.0,4
E0210,Priya Das,Male,HR,Mumbai,2021-02-16,9.6,155496,47679.0,3
E0211,Ananya Singh,Female,IT,Jaipur,2015-05-20,2.9,163185,48446.0,4
E0212,Neha Kumar,Male,IT,Mumbai,2014-07-11,18.6,156663,33477.0,2
E0213,Amit Patel,Male,IT,Hyderabad,2013-09-10,7.1,141594,18277.0,2
E0214,Priya Das,Female,IT,Bengaluru,2021-01-30,11.8,57696,15528.0,3
E0215,Amit Patel,Female,HR,Lucknow,2015-12-12,11.0,26647,24565.0,5
E0216,Vivaan Yadav,Female,Marketing,Bengaluru,2016-12-17,11.6,76938,42323.0,2
E0217,Vivaan Mehta,Female,Finance,Hyderabad,2016-01-07,16.8,81726,24407.0,4
E0218,Priya Verma,Male,HR,Mumbai,2018-07-17,19.5,162096,20108.0,5
E0219,Priya Sharma,Female,Sales,Bengaluru,2023-03-14,17.3,88636,12112.0,2
E0220,Neha Kumar,Male,Finance,Hyderabad,2023-06-17,11.8,133541,40243.0,5
E0221,Aditya Sharma,Female,IT,Hyderabad,2017-03-12,9.9,79451,48844.0,4
E0222,Sneha Sharma,Female,Marketing,Delhi,2020-02-11,14.1,172557,29504.0,4
E0223,Vivaan Patel,Male,Marketing,Mumbai,2020-03-22,1.5,167122,11445.0,3
E0224,Aditya Gupta,Male,Marketing,Jaipur,2024-12-10,19.4,37097,40208.0,5
E0225,Ananya Patel,Male,Marketing,Bengaluru,2012-11-18,16.6,67052,36511.0,4
E0226,Diya Yadav,Male,HR,Bengaluru,2016-06-21,3.5,66898,39539.0,4
E0227,Diya Verma,Female,Finance,Delhi,2018-04-17,6.8,148637,30722.0,4
E0228,Aarav Sharma,Male,Operations,Jaipur,2023-02-23,17.1,115794,35804.0,3
E0229,Amit Gupta,Male,IT,Pune,2020-10-10,16.8,117781,20884.0,5
E0230,Ananya Joshi,Female,Marketing,Delhi,2015-06-03,12.7,54049,37722.0,5
E0231,Ananya Sharma,Female,IT,Delhi,2016-05-10,1.6,126639,8253.0,4
E0232,Riya Verma,Female,HR,Pune,2024-11-27,18.6,56435,7691.0,3
E0233,Sneha Singh,Male,Marketing,Jaipur,2022-12-23,4.7,41435,25025.0,3
E0234,Neha Sharma,Female,Operations,Pune,2013-06-03,17.3,32876,11455.0,3
E0235,Aditya Kumar,Female,HR,Bengaluru,2023-04-26,4.2,146396,39506.0,4
E0236,Ananya Das,Female,Marketing,Jaipur,2014-11-24,16.7,178395,24023.0,3
E0237,Aarav Gupta,Female,Marketing,Jaipur,2016-08-01,0.9,26669,5133.0,5
E0238,Rahul Verma,Male,Operations,Delhi,2014-11-03,19.3,93675,40222.0,5
E0239,Aditya Singh,Female,Operations,Jaipur,2018-05-13,16.1,142731,33034.0,3
E0240,Riya Gupta,Male,IT,Hyderabad,2013-09-26,4.7,42918,48524.0,3
E0241,Aditya Gupta,Female,HR,Delhi,2024-01-26,9.7,53830,41152.0,5
E0242,Vivaan Das,Female,Marketing,Pune,2016-04-05,19.2,63059,8185.0,5
E0243,Ananya Patel,Female,IT,Lucknow,2012-03-09,10.6,153992,8105.0,2
E0244,Ananya Joshi,Female,Marketing,Pune,2017-10-21,19.0,57306,15588.0,4
E0245,Riya Mehta,Female,HR,Mumbai,2013-08-11,8.2,167042,34334.0,5
E0246,Rahul Yadav,Female,Marketing,Bengaluru,2018-04-21,14.3,109421,14095.0,2
E0247,Diya Joshi,Male,Marketing,Mumbai,2019-02-17,15.3,61651,42992.0,5
E0248,Sneha Gupta,Female,Finance,Jaipur,2018-07-07,3.5,39987,31695.0,2
E0249,Rahul Joshi,Male,Finance,Delhi,2018-05-09,9.3,64658,49713.0,4
E0250,Aditya Singh,Male,IT,Hyderabad,2023-08-03,18.1,173165,21064.0,5
E0251,Sneha Singh,Female,Marketing,Lucknow,2014-02-25,2.6,97912,35425.0,3
E0252,Aarav Sharma,Female,HR,Mumbai,2025-03-18,19.4,94045,21141.0,3
E0253,Priya Kumar,Male,Marketing,Hyderabad,2017-03-30,4.9,106054,17579.0,5
E0254,Sneha Patel,Female,Finance,Delhi,2024-12-11,2.6,66717,42799.0,4
E0255,Priya Das,Female,Finance,Jaipur,2014-04-18,10.4,97126,8714.0,2
E0256,Neha Das,Male,Marketing,Jaipur,2012-05-11,13.6,45475,47061.0,4
E0257,Priya Verma,Female,Operations,Lucknow,2020-07-10,8.7,42138,8679.0,4
E0258,Ananya Singh,Female,HR,Bengaluru,2022-08-14,17.6,179714,32833.0,4
E0259,Aditya Sharma,Male,IT,Delhi,2024-04-21,17.0,39957,12810.0,5
E0260,Ananya Kumar,Female,Marketing,Delhi,2022-05-08,14.2,96021,14732.0,3
E0261,Aarav Patel,Male,Finance,Pune,2013-09-16,16.2,83555,46832.0,5
E0262,Aarav Patel,Female,Sales,Lucknow,2015-11-23,19.3,162065,7391.0,2
E0263,Karan Das,Male,Marketing,Delhi,2024-01-13,18.4,160023,9007.0,5
E0264,Diya Mehta,Female,Operations,Pune,2023-09-01,7.1,122088,31770.0,3
E0265,Rahul Das,Male,IT,Pune,2015-09-26,19.8,170938,8596.0,2
E0266,Priya Singh,Male,Marketing,Bengaluru,2013-10-08,5.2,166018,43094.0,2
E0267,Ananya Mehta,Male,IT,Hyderabad,2012-05-22,6.3,140378,12589.0,2
E0268,Amit Joshi,Male,IT,Pune,2017-02-11,4.7,96998,5254.0,3
E0269,Aditya Mehta,Female,Marketing,Delhi,2021-05-07,12.7,113590,39332.0,3
E0270,Diya Joshi,Male,Operations,Jaipur,2023-01-21,14.8,69474,43504.0,5
E0271,Karan Yadav,Female,Finance,Jaipur,2012-02-08,5.6,152406,25489.0,3
E0272,Sneha Yadav,Male,Finance,Hyderabad,2016-04-22,19.3,76182,12924.0,3
E0273,Amit Verma,Female,HR,Pune,2019-05-29,7.9,91962,11976.0,5
E0274,Aditya Singh,Male,Marketing,Mumbai,2021-01-10,0.1,157004,41222.0,2
E0275,Amit Joshi,Male,Marketing,Delhi,2018-08-24,15.0,73565,28295.0,5
E0276,Neha Yadav,Female,Sales,Hyderabad,2016-12-13,14.3,33169,20949.0,4
E0277,Priya Mehta,Female,Operations,Bengaluru,2013-05-21,0.9,113523,17977.0,4
E0278,Riya Das,Male,Marketing,Hyderabad,2016-04-13,1.1,87984,6042.0,2
E0279,Vivaan Gupta,Female,HR,Pune,2014-04-27,4.8,132662,36667.0,3
E0280,Aarav Joshi,Female,IT,Mumbai,2012-11-04,17.2,141273,43221.0,2
E0281,Amit Kumar,Male,Sales,Hyderabad,2015-01-19,1.9,68474,48215.0,5
E0282,Aditya Yadav,Female,IT,Bengaluru,2023-12-23,11.4,139292,21696.0,4
E0283,Ananya Joshi,Female,Finance,Mumbai,2019-11-18,10.0,102615,39981.0,4
E0284,Aditya Gupta,Female,Sales,Pune,2020-08-20,9.6,157409,29149.0,3
E0285,Vivaan Singh,Male,HR,Mumbai,2023-03-10,0.4,112836,38422.0,3
E0286,Ananya Verma,Female,Finance,Pune,2018-10-29,11.5,38987,48627.0,3
E0287,Riya Verma,Male,Operations,Pune,2018-06-01,9.3,89875,27187.0,2
E0288,Aarav Kumar,Female,Sales,Pune,2016-10-05,8.5,90805,24593.0,5
E0289,Riya Das,Male,HR,Delhi,2014-01-29,0.9,85920,10684.0,3
E0290,Neha Joshi,Female,Marketing,Jaipur,2020-06-04,10.8,61809,11932.0,5
E0291,Diya Singh,Male,Sales,Mumbai,2014-02-28,16.4,95148,46628.0,3
E0292,Priya Yadav,Female,Operations,Pune,2020-09-04,2.9,50478,42306.0,2
E0293,Vivaan Sharma,Male,Marketing,Mumbai,2012-06-01,3.0,168148,39088.0,3
E0294,Diya Mehta,Male,Finance,Pune,2022-04-11,3.1,153639,17807.0,3
E0295,Riya Joshi,Male,HR,Bengaluru,2017-06-04,11.8,119386,25197.0,3
E0296,Riya Joshi,Female,Marketing,Mumbai,2015-09-13,8.0,28541,38743.0,4
E0297,Rahul Sharma,Female,HR,Bengaluru,2020-12-27,17.7,52060,22169.0,3
E0298,Sneha Kumar,Female,Sales,Pune,2021-05-23,9.9,161136,11022.0,3
E0299,Vivaan Kumar,Female,HR,Delhi,2021-02-03,16.2,46318,22241.0,3
E0300,Aarav Sharma,Female,Finance,Jaipur,2014-03-20,2.0,39126,43349.0,3
E0301,Riya Patel,Male,Operations,Delhi,2022-11-12,5.6,160659,16575.0,5
E0302,Karan Sharma,Male,HR,Lucknow,2018-10-08,12.4,157878,41404.0,4
E0303,Diya Singh,Male,Finance,Lucknow,2018-08-25,19.4,132750,21780.0,2
